Species,Elevation,Body_length,Proboscis_length,Head_diameter,Body_diameter,Weight_dry,Pollen_head,Pollen_thorax,Pollen_legs,Pollen_abdomen
Dolichopodidae_sp.,1181,4.085833333,0.459090909,1.015,NA,NA,0.416666667,0.833333333,0.833333333,0.25
Dolichopodidae_sp.,1463,3,NA,0.96,NA,NA,0,0,2,1
Dolichopodidae_sp.,1632,2.91,NA,0.86,NA,NA,0,1,1,0
Dolichopodidae_sp.,2080,2.29,NA,0.75,NA,NA,0.333333333,0.666666667,0.666666667,0.333333333
Dolichopodidae_sp.,2283,4.08,0.54,1.06,NA,NA,0,0,0,0
Drymeia_alpicola,1632,6.39,0.99,1.64,NA,NA,NA,NA,NA,NA
Drymeia_alpicola,2080,6.16,1.86,1.59,NA,NA,1,3,1,3
Drymeia_alpicola,2283,7.64,1.853333333,1.866666667,NA,NA,0.666666667,3,2,1.666666667
Drymeia_brumalis,1632,#DIV/0!,NA,NA,NA,NA,NA,NA,NA,NA
Drymeia_hamata,1181,7.24,2.27,1.89,NA,NA,1,2,2,1
Drymeia_hamata,1860,7.67,1.295,2.05,NA,NA,1.5,2.5,3,2
Drymeia_sp.,1181,5.02,0.862,1.392,NA,NA,0.6,1.8,2,0.8
Drymeia_sp.,1463,5.631666667,1.021666667,1.363333333,NA,3.325,1.333333333,2.833333333,2.833333333,2.333333333
Drymeia_sp.,1860,4.806,0.978,1.29,NA,NA,0.75,1.25,1.5,0.5
Drymeia_sp.,2080,6.36,2.19,1.64,NA,NA,1,3,2,3
Drymeia_sp.,2283,5.627333333,1.326666667,1.499333333,NA,1.92,1.333333333,2.933333333,2.933333333,1.933333333
Drymeia_sp.,2379,6.04,1.83,1.88,NA,NA,3,3,3,3
Eana_osseana,1860,7.415,1.685,1.135,NA,NA,0.5,0,0.5,0
Eana_osseana,2283,7.24,1.48,1.16,NA,NA,0,0,0,0
Egle_inermis,2283,2.15,0.54,0.69,NA,NA,0,2,1,1
Elateridae_sp.,1181,11.3,NA,1.686666667,3.203333333,NA,0.2,0.8,1.6,1.4
Elateridae_sp.,1463,12.775,NA,1.835,3.32,NA,0.5,0.5,2,1.5
Elateridae_sp.,1860,12.48,NA,1.98,3.38,NA,1,1,1,1
Elateridae_sp.,2080,12.82,NA,2.033333333,3.596666667,NA,1,3,1.666666667,2
Elateridae_sp.,2283,12.25666667,NA,2.063333333,3.983333333,NA,3,3,3,3
Elateridae_sp.,2587,12.21,NA,1.9,3.51,NA,1,1,2,1
Empididae_sp.,1181,3.67,1.100140845,0.734166667,NA,3.95,0.579710145,1.260869565,1.652173913,0.927536232
Empididae_sp.,1463,3.819565217,0.968695652,0.763478261,NA,NA,0.739130435,1.217391304,1.47826087,0.565217391
Empididae_sp.,1632,4.837222222,1.598333333,0.861666667,NA,NA,0.833333333,1.555555556,2.055555556,1.25
Empididae_sp.,1860,5.8668,1.815652174,1.030416667,NA,NA,0.88,1.8,2.2,1.4
Empididae_sp.,2080,3.947222222,0.871111111,0.765,NA,NA,0.555555556,0.972222222,1.555555556,0.916666667
Empididae_sp.,2283,5.873055556,1.685,1.016666667,NA,NA,1.6,2.485714286,2.742857143,2.485714286
Empididae_sp.,2379,4.56625,1.148,0.819,NA,NA,1.243902439,1.780487805,1.902439024,1.292682927
Empididae_sp.,2587,4.187555556,1,0.792666667,NA,NA,0.422222222,1.355555556,1.644444444,0.555555556
Entomobryidae_sp.,2080,1.42,NA,0.31,NA,NA,0,0,0,0
Entomobryidae_sp.,2587,1.272727273,NA,0.27,NA,NA,0,0,0.181818182,0
Ephydridae_sp.,1181,2.28,NA,0.8,NA,NA,0,1,0.5,0.5
Ephydridae_sp.,1463,2.36,NA,0.75,NA,NA,0.5,0.5,0.5,0
Ephydridae_sp.,1632,1.78,NA,0.67,NA,NA,0,1,0,0
Ephydridae_sp.,1860,1.63,NA,0.5,NA,NA,0,0,1,0
Ephydridae_sp.,2080,2.28,NA,0.88,NA,NA,0,1,1,1
Ephydridae_sp.,2283,3.058,0.88,1.12,NA,NA,0.4,0.8,1,0.4
Ephydridae_sp.,2379,3.17,NA,1.19,NA,NA,1,2,3,2
Epidapus_microthorax,1181,1,NA,0.18,NA,NA,0,0,0,0
Epinotia_mercuriana,2080,4.7,1.92,0.87,NA,NA,0,0,0,0
Epinotia_mercuriana,2283,4.709705882,1.212424242,0.853823529,NA,NA,0.352941176,0.029411765,0.117647059,0.264705882
Epinotia_mercuriana,2379,4.480833333,1.554166667,0.861666667,NA,NA,0.083333333,0,0.083333333,0.25
Epistrophe_sp.,1181,9.948333333,1.371666667,2.948333333,NA,NA,0.6,2.8,2.2,1.2
Epistrophe_sp.,1632,7.805,1.12,2.4,NA,NA,NA,NA,NA,NA
Epistrophe_sp.,2080,8.85,1.44,2.55,NA,NA,0,1,0,0
Epistrophe_sp.,2283,10.88,1.5325,3.265,NA,NA,2.25,3.75,3,3
Episyrphus_balteatus,1181,10.435,1.34,2.79,NA,NA,1.75,2.5,2.5,1.5
Episyrphus_balteatus,1463,10.29705882,1.291176471,2.827058824,NA,NA,0.882352941,2.764705882,2.529411765,2.058823529
Episyrphus_balteatus,1632,8.838,1.5825,2.58,NA,NA,1,2.666666667,2.666666667,1.666666667
Episyrphus_balteatus,1860,10.43125,1.23625,2.82625,4.88,NA,0.5,2.5,2.25,1
Episyrphus_balteatus,2080,10.3375,1.5575,2.755,NA,NA,1.5,2.5,2.5,1.75
Episyrphus_balteatus,2283,10.3425,1.38625,2.78125,NA,NA,1.375,3,3,2.125
Episyrphus_balteatus,2587,10.45,1.445,2.995,NA,NA,1.5,3,2,2.5
Erebia_epiphron,1632,11.38,6.62,2.28,NA,NA,0,0,0,1
Erebia_epiphron,2283,11.115,6.88,2.04,NA,NA,1,1,1,2
Erebia_manto,2283,13.1975,8.815,2.365,NA,NA,2,2,1.75,1.5
Erebia_manto_or_eriphyle,2283,10.98,7.44,1.99,NA,NA,1,2,2,1
Erebia_sp.,2283,11.16,7.8,2.21,NA,NA,2,2,3,2
Eristalis_horticola,2283,14.09,4.12,4.85,NA,NA,3,4,3,3
Eristalis_jugorum,1463,11.98,2.79,4.01,NA,NA,3,4,3,3
Eristalis_rupium,1181,12.27666667,2.633333333,4.29,NA,NA,2.333333333,3,3,2.333333333
Eristalis_sp.,1181,11.72,2.62,4.17,NA,NA,2,3,2.75,2.5
Eristalis_sp.,1463,10.9,2.115,3.735,NA,NA,2,3.5,3,3
Eristalis_sp.,1632,11.51,2.635,4.14,NA,NA,2.5,3,3,3
Eristalis_tenax,1181,14.2795,3.557,5.012,NA,NA,1.684210526,2.842105263,2.894736842,1.842105263
Eristalis_tenax,1463,14.3,3.845,4.895,NA,NA,2.5,3,3,2.5
Eristalis_tenax,1632,14.10666667,3.55125,4.897777778,NA,NA,2.888888889,3.111111111,3.222222222,2.777777778
Eristalis_tenax,2283,14.692,3.586,5.018,NA,NA,2.8,3.2,3.2,2.8
Estheria_bohemani,1463,7.51,2.01,2.23,NA,NA,3,3,3,3
Eudonia_vallesialis,2587,8.4,6.08,1.23,NA,NA,0,0,0,0
Eupeodes_sp.,1181,9.563333333,1.38,2.816666667,NA,NA,1,2.666666667,2.333333333,1.666666667
Eupeodes_sp.,1632,10.512,1.658,3.136,NA,NA,1.5,3,2.5,1.5
Eupeodes_sp.,2080,9.15,1.38,3.06,NA,NA,1,3,2,2
Eupeodes_sp.,2283,10.77333333,1.572222222,3.162222222,NA,NA,1.666666667,3.111111111,2.666666667,2.333333333
Eupeodes_sp.,2379,10.82,1.465,3.15,NA,NA,1.5,3,3,2.5
Eupeodes_sp.,2587,9.98,1.24,3,NA,NA,1,3,3,1
Eusphalerum_sp.,1181,1.69,NA,0.5,0.64,NA,0,1,1,0
Eusphalerum_sp.,1632,1.67,NA,0.49,0.54,NA,0,0,1,0
Eusphalerum_sp.,1860,2.248723404,NA,0.549787234,0.716304348,NA,0.234042553,0.553191489,0.808510638,0.617021277
Eusphalerum_sp.,2080,2.1445,NA,0.53025,0.673,0.18,0.125,0.3,0.65,0.4
Eusphalerum_sp.,2283,1.8725,NA,0.49875,0.6675,NA,0.125,0.125,1.125,0.75
Eusphalerum_sp.,2379,1.845,NA,0.50673913,0.639565217,0.14,0.326086957,0.5,1.02173913,0.739130435
Eusphalerum_sp.,2587,2.006428571,NA,0.537142857,0.651428571,0.19,0.571428571,0.428571429,0.785714286,0.642857143
Fannia_sp.,2080,4.32,0.98,1.3,NA,NA,1,3,3,2
Fanniidae_sp.,1463,4.125,0.97,1.045,NA,NA,0,1.5,1,1
Fanniidae_sp.,1860,3.798888889,0.681428571,1.12,NA,NA,0.777777778,1,1.111111111,0.888888889
Fanniidae_sp.,2080,4.332,0.846,1.272,NA,NA,1.4,3,2.8,2
Fanniidae_sp.,2587,3.436923077,0.79,0.876923077,NA,NA,0.153846154,1,1.076923077,0.307692308
Formica_exsecta,1181,4.3375,NA,1.305,NA,NA,0.25,0.25,0.75,0.5
Formica_exsecta,1463,#DIV/0!,NA,1.18,NA,NA,0,2,0,0
Formica_lemani,1181,2.837,NA,0.861,NA,0.405,0.4,0.6,1.2,1.3
Formica_polyctena,1463,#DIV/0!,NA,2.23,NA,NA,0,0,0,0
Formica_rufa,1181,5.415714286,NA,1.642857143,NA,2.66,0.285714286,0.571428571,1,1.142857143
Formica_transkaukasica,1181,3.743571429,NA,1.12,NA,1.06,0.357142857,0.785714286,0.642857143,0.571428571
Formica_transkaukasica,1463,2.9275,NA,0.984117647,NA,0.701666667,0.5625,1.058823529,0.941176471,0.823529412
Formica_transkaukasica,1632,3.584375,NA,1.03875,NA,NA,0.214285714,0.428571429,0.785714286,0.285714286
Formica_transkaukasica,1860,#DIV/0!,NA,1.145,NA,NA,0.5,0.5,1,1
Formicidae_sp.,1463,4.32,NA,0.995,NA,NA,1,0,1,0.5
Geomyza_sp.,1632,2.91,NA,0.86,NA,NA,0,0,0,0
Glacies_alpinata,1860,9.28,5.52,1.42,NA,NA,0,0,1,0
Glacies_coracina,2379,7.97,5.2225,1.2275,NA,NA,0.25,0.25,0.75,0.25
Glacies_noricana,2379,9.07,5.68,1.18,NA,NA,0,0,1,0
Glacies_sp.,2379,8.385714286,4.877142857,1.218571429,NA,NA,1.285714286,0.571428571,1.285714286,0.428571429
Glyphipterix_simpliciella,1463,2.675,0.89,0.45,NA,NA,0,0,0,0
Haematobia_irritans,1181,4.25,1.18,1.28,NA,NA,1,2,2,1
Haematobia_irritans,1632,6.75,1.68,1.78,NA,NA,NA,NA,NA,NA
Haematobia_titillans,1181,5.61,1.82,1.81,NA,NA,0,0,1,0
Halictus_rubicundus,1181,9.83,2.69,2.87,NA,NA,2,3,3,2
Halictus_rubicundus,1463,#DIV/0!,1.87,2.636666667,NA,NA,1.333333333,1.666666667,3,1.333333333
Halictus_rubicundus,1632,8.645,2.71,2.241666667,NA,NA,1.333333333,2.5,2.5,2.166666667
Halictus_rubicundus,2080,#DIV/0!,1.25,2.69,NA,NA,1,2,4,3
Helina_reversio,2283,6.32,0.98,1.88,NA,NA,1,3,3,2
Helina_reversio,2379,6.214705882,1.284117647,1.778235294,NA,2.586666667,1.058823529,2.352941176,2.176470588,1.764705882
Hesperia_comma,1181,14.32,13.09,3.48,NA,NA,1,0,0,0
Heterostylodes_nominabilis,1181,2.64,0.6,0.715,NA,NA,0.5,0.5,1,1
Hybotidae_sp.,1632,3.65,0.305,0.655,NA,NA,0.5,1,1,0.5
Hybotidae_sp.,1860,2.625,0.15,0.505,NA,NA,0,1,1.5,0.5
Hybotidae_sp.,2283,2,0.33,0.4,NA,NA,1,0,0,0
Hybotidae_sp.,2587,1.68,0.32,0.4,NA,NA,0,0,2,0
Hydrophoria_diabata,1860,5.08,1.38,1.49,NA,NA,0.5,1,1.5,0.5
Hydrophoria_lancifer,1632,8.63,1.44,2,NA,NA,1,1,1,0
Hydrophoria_lancifer,1860,9.325,1.66,2.5,NA,NA,1.5,2,2,1.5
Hydrophoria_sp.,1463,8.48,1.21,2.19,NA,NA,1,3,3,3
Hydrotaea_albipuncta,1463,4.48,1.83,1.47,NA,NA,1,2,2,1
Hylaeus_communis,1632,5.45,1.51,1.49,NA,NA,1,2,2,1
Hylaeus_confusus,1181,5.59,0.74,1.65,NA,NA,1,2,1,2
Hylemya_vagans,1463,5.81,1.21,1.73,NA,NA,0,1,1,1
Hylemya_vagans,1632,5.77,0.94,1.75,NA,NA,NA,NA,NA,NA
Hylemya_vagans,1860,6.815,1.01,1.855,NA,NA,0.5,1,1,0.5
Hylemya_variata,1632,4.96,1.24,1.5,NA,NA,1,0.5,1,0.5
Hylemya_variata,1860,5.205,0.928333333,1.443333333,NA,NA,0,0.5,0.666666667,0.166666667
Ichneumonidae_sp.,1181,3.658333333,NA,0.736666667,NA,NA,0.833333333,1.166666667,1.166666667,0.666666667
Ichneumonidae_sp.,1463,5.403636364,NA,1.142727273,NA,NA,1.181818182,1.363636364,1.363636364,0.727272727
Ichneumonidae_sp.,1632,4.66,NA,0.95,NA,NA,1,1.5,1.5,1
Ichneumonidae_sp.,1860,5.875,NA,1.095,NA,NA,0.333333333,0.833333333,0.666666667,0.333333333
Ichneumonidae_sp.,2080,3.753333333,NA,0.655,NA,NA,0.5,0.25,1,0
Ichneumonidae_sp.,2283,4.654761905,NA,0.825238095,NA,NA,0.428571429,0.619047619,0.285714286,0.095238095
Ichneumonidae_sp.,2379,5.5025,NA,1.11,NA,NA,1.5,2.5,2.75,1.5
Ichneumonidae_sp.,2587,4.612,NA,0.868,NA,NA,0.6,1.4,0.8,0.6
Isotomidae_sp.,2283,8,NA,0.19,NA,NA,0,0,0,0
Isotomidae_sp.,2587,0.98,NA,0.25,NA,NA,0,0,0,0
Issidae_sp.,1181,2.942,0.33,0.906,NA,NA,0.2,0,0.4,0
Issidae_sp.,1463,2.11,NA,0.94,NA,NA,0,0,0,0
Issidae_sp.,1632,3.545555556,0.604,1.137777778,NA,NA,0.428571429,0.142857143,0.571428571,0
Issidae_sp.,1860,3.114,0.318888889,0.953,NA,NA,0.1,0.2,0.1,0
Issidae_sp.,2080,3.037,0.258,0.93,NA,NA,0,0,0,0
Issidae_sp.,2283,2.99,0.75,0.86,NA,NA,0,0,0,1
Issidae_sp.,2379,2.33,0.25,0.56,NA,NA,0.5,0,1,0
Katiannidae_sp.,2080,1.19,NA,0.48,NA,NA,0,0,0,0
Lachesillidae_sp.,1463,1.51,NA,0.46,NA,NA,0,1,0,1
Lachesillidae_sp.,2080,1.89,NA,0.7,NA,NA,0,1,0,0
Lasioglossum_alpibes,1181,7.202142857,2.690714286,1.985714286,NA,NA,1.25,1.916666667,2.166666667,1.333333333
Lasioglossum_alpibes,1632,7.35,2.303333333,1.913333333,NA,NA,1,2,2.5,1.5
Lasioglossum_calceatum,1181,7.8725,2.4625,2.11,NA,NA,1.75,2.5,3.25,2.75
Lasioglossum_calceatum,1632,7.62,2.03,1.97,NA,NA,1,2,3,3
Lasioglossum_fratellum,1181,6.93,2.13,1.803333333,NA,NA,1,2,3.5,2
Lasioglossum_fratellum,1632,7.1225,2.384285714,1.825,NA,NA,1.285714286,2.285714286,2.285714286,1.571428571
Lasioglossum_fulvicorne,1181,6.525,1.75,1.7225,NA,NA,1,0.666666667,2.333333333,1.333333333
Lasioglossum_fulvicorne,1463,#DIV/0!,0.83,1.83,NA,NA,1,1,2,1
Lasioglossum_laevigatum,1632,7.61,2.11,3.23,NA,NA,2,3,3,3
Lasioglossum_leucopus,1181,5.99,1.6,1.3,NA,NA,1,1,3,2
Lasioglossum_leucopus,1463,#DIV/0!,0.94,1.416666667,NA,NA,0.666666667,1.333333333,2,1.333333333
Lasioglossum_sp.,1463,#DIV/0!,1.3475,1.8575,NA,NA,2,2.5,3.25,2.75
Lasius_sp.,1181,2.1,NA,0.61,NA,NA,2,2,3,3
Lauxaniidae_sp.,1463,3.72,NA,1.09,NA,NA,0,0,0,0
Lauxaniidae_sp.,2283,3.45,NA,1.19,NA,NA,0,0,1,0
Lepidoptera_sp.,1463,3.14,NA,0.63,NA,NA,0,0,0,0
Lepidoptera_sp.,2080,3.59,1.52,0.6,NA,NA,1,0,0,0
Lepidoptera_sp.,2379,4.11,2.16,0.96,NA,NA,0,0,0,0
Leptothorax_sp.,1181,2.84,NA,0.78,NA,NA,0,1.5,0.5,0.5
Leptothorax_sp.,1463,#DIV/0!,NA,0.7,NA,NA,1,0.5,0.5,0.5
Leptothorax_sp.,1860,#DIV/0!,NA,1.055,NA,NA,0.5,0,1,0.5
Leptothorax_sp.,2080,#DIV/0!,NA,1.02,NA,NA,0,0,1,1
Lonchaeidae_sp.,1463,1.932222222,NA,0.63,NA,NA,0.277777778,0.722222222,0.555555556,0.222222222
Lonchopteridae_sp.,1463,2.68,NA,0.68,NA,NA,0,0,0,0
Lonchopteridae_sp.,1632,2.7,NA,0.67,NA,NA,0,0,0,0
Lonchopteridae_sp.,1860,2.7,NA,0.61,NA,NA,0,0,1,0
Lycoriella_inflata,2283,2.43,NA,0.35,NA,NA,1,2,2,0
Lycosidae_sp.,1632,7.31,NA,2.19,NA,NA,0,0,0,0
Lycosidae_sp.,2379,4.27,NA,1.63,NA,NA,2,NA,1,1
Lygaeidae_sp.,1181,8.61,2.96,1.43,NA,NA,0,0,0,0
Lygaeidae_sp.,1463,5.886666667,2.765,1.263333333,NA,NA,1,2.333333333,2,1
Macaria_brunneata,1632,9.43,5.05,1.41,NA,NA,0,0,0,0
Macquartia_tenebricosa,1860,7.66,0.98,2.01,NA,NA,1,2,0,0
Megaselia_abdita,2283,1.56,NA,0.39,NA,NA,0,0,1,0
Megaselia_aculeata,1463,1.77,NA,0.53,NA,NA,0,0,0,0
Megaselia_brevicostalis,1632,1.175,NA,0.35,NA,NA,0,0,0,0
Megaselia_brevicostalis,2379,1.06,NA,0.39,NA,NA,0,0,0,0
Megaselia_ciliata,1463,1.94,NA,0.48,NA,NA,0,0,0,0
Megaselia_nectergata,1463,1.46,NA,0.44,NA,NA,1,1,0,0
Megaselia_nectergata,1860,1.65,NA,0.58,NA,NA,0,0,0,0
Megaselia_nectergata,2080,1.46,NA,0.48,NA,NA,0,0,1,0
Megaselia_pectoralis,2080,1.64,NA,0.52,NA,NA,0,1,1,0
Megaselia_pectoralis,2283,2.14,NA,0.55,NA,NA,0,1,1,1
Megaselia_pectoralis,2379,1.18,NA,0.35,NA,NA,0,0,0,0
Megaselia_pusilla,2379,1.31,NA,0.48,NA,NA,0,0,0,0
Megaselia_sordida,2283,1.69,NA,0.5,NA,NA,1,0,0,0
Megaselia_sordida,2379,1.78,NA,0.56,NA,NA,0,1,2,1
Megaselia_sp.,1181,1.361428571,NA,0.374285714,NA,NA,0.142857143,0.285714286,0.428571429,0.142857143
Megaselia_sp.,1463,1.83,NA,0.586666667,NA,NA,0.333333333,0.5,0.333333333,0.166666667
Megaselia_sp.,1632,1.44,NA,0.425,NA,NA,0,0,0.5,0
Megaselia_sp.,1860,1.66,NA,0.543333333,NA,NA,0,0.333333333,0,0
Megaselia_sp.,2080,1.495,NA,0.49,NA,NA,0,0,0.5,0
Megaselia_sp.,2283,1.75,NA,0.518,NA,NA,0,0.8,0.6,0.2
Megaselia_sp.,2379,1.506666667,NA,0.446666667,NA,NA,0,0,0.666666667,0
Megaselia_sp.,2587,2.083333333,NA,0.47,NA,NA,0,0,0.666666667,0
Megaselia_subfuscipes,1463,1.85,NA,0.62,NA,NA,0,1,2,0
Megaselia_subfuscipes,2283,1.2,NA,0.5,NA,NA,0,0,0,0
Megaselia_subnudipennis,2283,1.66,NA,0.6,NA,NA,1,1,0,0
Megaspilidae_sp.,1463,2.425,NA,0.6,NA,NA,1.5,2,1,0
Megaspilidae_sp.,2283,2.02,NA,0.53,NA,NA,0,1,0,0
Meigenia_mutabilis,1181,6.46,2.22,1.82,NA,NA,1,3,3,3
Melanostoma_sp.,1632,6.82,1.07,1.97,NA,NA,NA,NA,NA,NA
Melanostoma_sp.,2283,8.225,1.545,2.225,NA,NA,0.5,3,2.5,2
Melitaea_asteria,2379,9.5875,4.835,2.0725,NA,NA,1.75,2,0.75,1.75
Mellinus_arvensis,1463,#DIV/0!,NA,3.04,NA,NA,1,3,3,1
Melyridae_sp.,2283,3.928076923,NA,0.923076923,1.17125,NA,1.192307692,0.923076923,2,1.730769231
Meoneura_sp.,1181,#DIV/0!,NA,NA,NA,NA,NA,NA,NA,NA
Mesotype_verberata,2283,9.905,6.18,1.385,NA,NA,1,0.5,0,0
Micropterix_aruncella,1181,2.434444444,0.44,0.582,NA,NA,0.444444444,0.111111111,0,0.111111111
Micropterix_aruncella,1632,2.85,NA,0.55,NA,NA,NA,NA,NA,NA
Milichiidae_sp.,1181,1.59,NA,0.56,NA,NA,0,1,0,0
Milichiidae_sp.,2379,1.63,NA,0.6,NA,NA,1,1,1,0
Miridae_sp.,1181,6.347777778,2.995142857,1.244166667,NA,NA,0.971428571,1.057142857,2.428571429,1.914285714
Miridae_sp.,1463,4.406666667,2.260666667,1.021333333,NA,NA,0.4,0.6,1.333333333,1
Miridae_sp.,1632,4.715,2.016666667,0.956666667,NA,NA,0.4,0.4,0.8,0.4
Miridae_sp.,1860,5.518,2.35,1.12,NA,NA,0.4,1.2,1.8,2
Morellia_podagrica,1181,7.91,1.4,2.53,NA,NA,2,3,3,2
Musca_autumnalis,1181,7.323043478,1.581363636,2.546956522,NA,4.342941176,1.043478261,2.565217391,2.652173913,1.652173913
Musca_autumnalis,1463,7.0595,1.4905,2.4305,NA,3.32,1.3,2.6,2.75,2.25
Musca_autumnalis,1860,7.23,1.3,2.486666667,NA,NA,1,2,2.333333333,0.666666667
Musca_autumnalis,2283,#DIV/0!,NA,NA,NA,NA,NA,NA,NA,NA
Muscidae_sp.,1181,#DIV/0!,NA,NA,NA,NA,NA,NA,NA,NA
Muscidae_sp.,1463,8.11,1.28,2.4,NA,NA,0,3,3,3
Muscidae_sp.,1632,#DIV/0!,NA,NA,NA,NA,NA,NA,NA,NA
Muscidae_sp.,1860,6.041428571,1.208333333,1.405714286,NA,NA,0.6,2,2,1.5
Mycetophilidae_sp.,1181,1.73,NA,0.3,NA,NA,0,0,1,0
Myolepta_obscura,1181,12.04,2.983333333,3.876666667,NA,NA,2.333333333,3.333333333,3,3
Nabidae_sp.,1463,7.48,2.41,0.9,NA,NA,0,2,2,1
Nitidulidae_sp.,1181,1.93,NA,0.54,0.92,NA,0,0.5,0.5,0
Nitidulidae_sp.,1632,2.31,NA,0.74,1.17,NA,0,1,1,1
Odinidae_sp.,2283,1.8,NA,0.6,NA,NA,0,0,1,0
Oedemeridae_sp.,1463,8.393333333,NA,1.446666667,1.305,NA,0.333333333,1.333333333,2,1
Pamphiliidae_sp.,1463,5.436,NA,1.616,NA,NA,0.8,3.2,3,2
Pamphiliidae_sp.,1860,5.85,NA,1.45,NA,NA,2,2,2,2
Panorpa_sp.,1632,11.77,2.54,1.54,NA,NA,0,0,0,1
Pegoplata_aestiva,1181,3.762631579,1.121052632,1.238947368,NA,NA,0.421052632,1.473684211,1.894736842,0.526315789
Pegoplata_aestiva,1463,3.9088,1.0732,1.2504,NA,0.65,0.36,2.12,1.64,0.72
Pegoplata_aestiva,1632,4.022,1.2155,1.289,NA,0.7225,0.6,1.85,1.35,0.55
Pegoplata_aestiva,1860,3.886052632,0.906578947,1.240789474,NA,0.818333333,0.342105263,1.789473684,1.157894737,0.5
Pegoplata_aestiva,2080,4.073461538,1.156538462,1.302692308,NA,0.9,0.346153846,1.807692308,1.615384615,0.576923077
Pegoplata_aestiva,2283,4.351904762,1.114285714,1.295238095,NA,NA,0.428571429,1.714285714,1.238095238,0.80952381
Pegoplata_aestiva,2379,4.220769231,1.297692308,1.384615385,NA,NA,0.769230769,2.384615385,1.923076923,0.923076923
Pegoplata_aestiva,2587,4.476875,1.272666667,1.378125,NA,NA,0.235294118,1.294117647,0.882352941,0.411764706
Pempeliella_ornatella,1181,8.43,5.04,1.33,NA,NA,1,0,0,0
Peripsocidae_sp.,1181,3.08,NA,0.83,NA,NA,0,1,0,0
Peripsocidae_sp.,1463,2.39,NA,0.773333333,NA,NA,0,0.333333333,0.666666667,0.333333333
Peripsocidae_sp.,1860,1.935,NA,0.4,NA,NA,0,0,0,1
Peripsocidae_sp.,2283,2.96,NA,0.81,NA,NA,0,0,1,1
Perizoma_albulata,2283,7.03,3.59,1.06,NA,NA,0.666666667,0,0,0
Peyerimhoffia_alpina,2283,1.31,NA,0.28,NA,NA,0,1,2,0
Phaonia_angelicae,1181,#DIV/0!,NA,NA,NA,NA,NA,NA,NA,NA
Phaonia_lugubris,1860,8.52,1.67,2.26,NA,NA,2,3,3,3
Phaonia_serva,1463,8.79,2.03,2.4,NA,NA,3,3,3,3
Phaonia_serva,1632,6.69,1.12,1.74,NA,NA,2,3,3,3
Phaonia_sp.,1860,#DIV/0!,NA,NA,NA,NA,NA,NA,NA,NA
